0,2.210609
1,1.297440
2,1.098296
3,1.003413
4,0.938588
5,0.887738
6,0.845664
7,0.809745
8,0.778222
9,0.749905
10,0.724054
11,0.700245
12,0.678243
13,0.657916
14,0.639168
15,0.621906
16,0.606025
17,0.591408
18,0.577931
19,0.565474
20,0.553926
21,0.543187
22,0.533169
23,0.523793
24,0.514993
25,0.506708
26,0.498886
27,0.491481
28,0.484451
29,0.477759
30,0.471373
31,0.465263
32,0.459402
33,0.453768
34,0.448338
35,0.443095
36,0.438022
37,0.433106
38,0.428334
39,0.423695
40,0.419181
41,0.414785
42,0.410498
43,0.406317
44,0.402236
45,0.398253
46,0.394364
47,0.390566
48,0.386858
49,0.383239
50,0.379707
51,0.376260
52,0.372898
53,0.369618
54,0.366421
55,0.363303
56,0.360265
57,0.357305
58,0.354420
59,0.351611
60,0.348876
61,0.346212
62,0.343621
63,0.341099
64,0.338646
65,0.336261
66,0.333942
67,0.331689
68,0.329499
69,0.327373
70,0.325308
71,0.323303
72,0.321357
73,0.319468
74,0.317635
75,0.315857
76,0.314131
77,0.312457
78,0.310833
79,0.309256
80,0.307726
81,0.306241
82,0.304799
83,0.303398
84,0.302038
85,0.300716
86,0.299430
87,0.298181
88,0.296965
89,0.295781
90,0.294629
91,0.293507
92,0.292414
93,0.291348
94,0.290308
95,0.289293
96,0.288303
97,0.287336
98,0.286392
99,0.285468
100,0.284566
101,0.283683
102,0.282819
103,0.281974
104,0.281146
105,0.280336
106,0.279541
107,0.278763
108,0.277999
109,0.277251
110,0.276516
111,0.275796
112,0.275088
113,0.274394
114,0.273712
115,0.273042
116,0.272383
117,0.271737
118,0.271101
119,0.270475
120,0.269861
121,0.269256
122,0.268661
123,0.268076
124,0.267500
125,0.266934
126,0.266376
127,0.265827
128,0.265287
129,0.264755
130,0.264231
131,0.263715
132,0.263207
133,0.262706
134,0.262214
135,0.261728
136,0.261250
137,0.260778
138,0.260314
139,0.259856
140,0.259405
141,0.258961
142,0.258523
143,0.258091
144,0.257665
145,0.257246
146,0.256832
147,0.256424
148,0.256022
149,0.255625
150,0.255234
151,0.254848
152,0.254467
153,0.254092
154,0.253721
155,0.253356
156,0.252995
157,0.252639
158,0.252287
159,0.251940
160,0.251598
161,0.251260
162,0.250926
163,0.250596
164,0.250271
165,0.249949
166,0.249631
167,0.249318
168,0.249008
169,0.248701
170,0.248399
171,0.248100
172,0.247804
173,0.247512
174,0.247223
175,0.246937
176,0.246655
177,0.246376
178,0.246100
179,0.245827
180,0.245557
181,0.245290
182,0.245026
183,0.244765
184,0.244507
185,0.244251
186,0.243998
187,0.243748
188,0.243500
189,0.243255
190,0.243013
191,0.242773
192,0.242535
193,0.242300
194,0.242068
195,0.241837
196,0.241609
